Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,Hepatitis_B,Measles,BMI,Diphtheria,HIV/AIDS(),GDP,Schooling
68,314,7,347,75,1,24,78,400,,10
59,338,8,258,73,2,23,79,430,,10
58,354,8,275,64,84,23,72,500,,10
57,368,8,225,,126,22,73,550,,10
55,394,8,203,,146,22,62,590,,9
54,48,9,258,,3524,21,67,630,,9
53,417,9,245,,3712,3,5,680,,9
53,424,9,255,,2788,2,41,720,,10
53,419,9,230,,2152,20,31,760,,10
53,416,9,226,,1678,19,33,780,,10
,,0,1,98,0,83,98,10,,
80,95,1,,92,0,7,92,10,1146,14
80,96,1,345,91,1,60,91,10,1647,14
79,96,1,342,94,0,59,95,10,1570,14
79,97,1,334,91,0,58,91,10,9985,14
79,98,1,341,84,0,57,85,10,9187,13
78,16,1,358,89,0,56,88,10,8199,13
79,96,1,407,87,0,54,86,10,689,13
79,99,1,422,89,0,53,9,10,6911,13
79,93,1,420,89,0,52,89,10,613,13
78,16,1,415,88,0,51,89,10,5245,13
79,97,1,410,9,1,5,91,10,4697,12
78,12,1,409,89,0,49,9,10,4426,12
78,1,1,404,86,1,48,88,10,4168,12
78,99,1,417,94,0,47,94,10,462,12
78,1,1,429,8,0,46,91,10,3982,12
78,98,1,434,89,0,45,88,10,388,12
78,95,0,,94,206,64,94,10,11580,15
78,97,0,1214,95,0,63,95,10,13467,15
78,97,0,1239,96,0,63,96,10,13575,15
77,14,0,1149,98,2,62,96,10,13236,15
77,14,0,1219,97,12,61,96,10,14539,15
77,16,0,1210,97,7,7,97,10,1356,14
76,19,0,1221,97,2,6,96,10,14157,14
76,116,0,1206,97,51,59,96,10,15894,14
76,114,0,1256,95,0,59,96,10,13547,14
76,113,0,1183,,1,58,96,10,11363,14
75,116,0,1159,,2,58,96,10,1224,14
75,114,0,1311,,54,57,96,10,9366,13
75,122,0,1378,,19,56,94,10,786,13
75,124,0,1339,,6,56,95,10,654,13
75,126,0,1315,,8,55,94,10,5245,12
75,127,0,1273,,9,55,93,10,4920,12
79,92,1,,99,0,61,99,10,762,14
79,93,1,437,97,0,7,99,10,76,14
79,96,1,418,96,0,60,99,10,676,15
79,96,1,416,96,0,59,99,10,6426,16
79,92,1,414,96,0,58,97,10,676,17
78,98,1,413,96,0,58,96,10,5676,18
78,11,1,401,96,0,57,96,10,5485,18
78,12,1,426,95,0,56,95,10,5376,17
78,14,1,413,93,0,55,93,10,5184,16
78,14,1,417,89,0,55,89,10,4670,15
77,19,1,448,95,0,54,89,10,3780,14
77,17,1,438,99,0,53,88,10,340,13
77,18,1,439,99,0,52,72,10,3193,13
78,19,1,410,98,0,51,99,10,2994,13
77,115,1,404,98,0,5,98,10,2832,12
77,115,1,392,98,0,49,95,10,2741,12
85,52,0,,97,0,6,97,10,2375,14
83,53,0,1,96,10,60,99,10,2735,14
81,54,0,904,96,0,59,99,10,2798,14
80,56,0,1055,96,1,59,99,10,28951,14
80,57,0,1069,96,0,58,99,10,32234,14
80,59,0,1132,96,18,58,99,10,3818,15
79,6,0,1080,96,0,57,99,10,3216,14
79,62,0,1201,93,1,57,97,10,3540,14
79,63,0,1156,93,0,56,97,10,31387,14
79,64,0,1147,93,0,56,97,10,27170,13
79,65,0,1141,88,1,55,98,10,25324,14
79,65,0,1303,88,0,55,98,10,23932,13
79,66,0,1062,88,0,54,98,10,2293,13
78,68,0,1168,88,0,54,98,10,16372,13
78,69,0,1016,89,0,53,97,10,1563,12
78,7,0,956,89,0,53,97,10,14673,13
79,86,0,,97,9,66,97,10,,
79,88,0,1268,99,222,66,97,10,,
78,9,0,1245,99,15,65,98,10,,
78,93,0,1271,99,22,65,99,10,,
78,97,0,1243,99,17,64,99,10,,
78,99,0,1269,99,0,64,99,10,,
77,12,0,1323,99,5,63,99,10,,
77,16,0,1325,99,2,63,99,10,,
77,17,0,1343,99,2,62,99,10,,
77,19,0,1303,98,7,62,98,10,,
76,114,0,1319,99,0,61,97,10,,
76,116,0,1324,98,17,7,98,10,,
75,122,0,1301,92,30,6,97,10,,
75,12,0,1347,86,4,60,98,10,,
75,123,0,1336,,6,59,98,10,,
75,126,0,1322,,9,59,98,10,,
76,139,6,,96,0,33,96,10,,
73,142,6,1,93,3,32,93,10,,
71,146,6,335,93,0,32,93,10,,
70,149,7,361,96,0,31,96,10,,
69,153,8,339,94,0,4,94,10,,
69,157,8,312,93,0,3,93,10,,
69,161,9,335,93,0,30,93,10,,
69,164,9,316,92,8,29,92,10,,
69,166,9,313,92,3550,29,92,10,,
69,165,10,328,96,0,28,89,10,,
69,165,10,321,92,0,28,79,10,,
68,165,11,313,98,0,27,72,10,,
68,165,12,313,27,0,27,68,10,,
68,167,14,308,,0,26,64,10,,
67,177,16,253,,0,26,62,10,,
65,192,18,352,,0,25,56,10,,
60,258,236,,81,5020,22,81,110,,
59,266,237,1,8,33711,21,8,110,,
59,272,238,1,74,88381,3,74,120,,
58,277,239,1,75,72029,2,75,150,,
58,278,239,182,74,133802,20,74,160,,
57,283,239,181,6,5407,19,6,160,,
57,292,238,213,72,57,19,72,170,,
56,295,237,209,65,12461,18,65,180,,
56,299,236,152,7,55577,18,7,190,,
55,36,235,153,,80123,17,62,200,,
54,314,233,143,,182485,17,6,200,,
54,323,232,144,,44934,17,54,210,,
53,332,231,183,,21956,16,41,220,,
52,341,229,185,,30466,16,38,240,,
52,34,227,190,,8072,15,3,240,,
51,346,226,198,,8282,15,4,250,,
86,71,0,,,9,59,93,10,5315,19
84,73,0,964,,27,58,94,10,62426,19
81,75,0,950,,17,58,94,10,61191,19
80,76,0,926,,2,58,94,10,5858,18
80,79,0,1047,,84,57,91,10,61754,17
79,84,0,1028,,5,57,9,10,5841,17
79,86,0,1008,,6,57,89,10,58163,17
79,88,0,1070,,14,56,88,10,64323,17
78,93,0,1099,,2,56,87,10,58487,17
78,93,0,1102,,27,55,93,10,5227,17
78,92,0,1128,,2,55,93,10,48800,17
78,98,0,1127,,0,54,95,10,46512,17
77,11,0,1154,,0,54,96,10,4459,16
77,14,0,1134,,32,53,98,10,33229,17
77,12,0,1156,,11,53,97,10,3752,16
77,12,0,1169,,14,52,97,10,3744,17
64,241,1,,84,47,35,84,210,1862,6
63,252,1,38,78,0,34,78,210,175,6
63,256,1,53,82,28,34,82,210,1623,6
62,263,1,52,81,709,33,81,190,1536,6
62,268,1,39,87,49,33,87,270,144,6
61,273,1,44,88,7,32,88,310,1326,6
69,279,1,49,89,48,32,89,320,1254,5
62,289,1,49,88,143,31,89,330,1215,5
60,296,1,45,25,24,4,88,350,148,5
59,39,2,102,,49,4,72,370,966,4
59,318,2,123,,298,3,71,390,95,4
58,326,2,118,,71,30,64,400,864,4
58,325,2,102,,37,29,68,420,820,4
58,322,2,103,,50,29,62,430,792,3
58,323,2,95,,79,29,53,430,781,3
57,325,2,134,,183,28,46,410,768,3
,,0,1,96,0,58,96,10,723,13
74,152,6,,81,0,59,85,30,6468,13
74,154,6,592,89,0,58,91,30,6269,13
73,157,6,593,8,0,57,83,30,628,13
72,174,6,593,74,0,56,85,40,5969,13
73,16,6,591,8,2,55,84,70,5760,13
73,166,6,602,83,0,54,88,90,5452,13
74,157,6,605,8,0,53,82,120,4953,13
73,161,6,612,81,0,52,82,140,511,13
73,164,6,605,81,0,5,85,160,4647,13
72,178,7,620,84,0,49,89,180,3836,13
70,28,7,571,87,0,48,87,200,3682,13
69,214,7,516,82,0,47,79,210,2422,13
73,22,7,632,79,0,46,79,230,2373,12
71,189,7,643,63,0,45,82,240,38,12
71,188,7,613,66,113,44,72,250,2862,12
72,176,7,658,68,253,43,78,250,282,12
76,118,6,,78,0,54,78,10,626,14
76,121,6,382,83,0,54,83,10,6432,14
76,121,6,377,87,0,53,87,10,675,13
76,127,7,392,88,72,52,87,10,572,13
75,131,7,399,88,257,51,88,10,5223,13
75,134,7,395,9,0,6,91,10,4657,13
75,137,7,387,91,0,5,94,10,4256,13
75,139,7,376,93,1,49,96,10,4275,13
75,14,7,363,94,0,49,96,20,360,13
74,144,8,352,96,0,48,96,30,336,13
74,151,8,354,92,0,47,92,30,322,13
74,148,8,365,88,0,47,88,30,279,13
74,151,8,369,82,0,46,87,30,244,13
74,157,8,388,75,0,45,88,30,2184,13
73,158,9,413,69,2,44,89,30,194,12
73,163,9,399,36,0,44,87,30,1451,12
79,159,51,,93,5432,61,93,10,,13
78,161,53,21,94,1314,6,94,10,,13
79,159,54,21,97,405,59,97,10,,13
72,165,54,23,93,245,59,93,10,,12
74,168,55,22,96,26,58,96,10,,12
70,173,54,22,97,16,57,97,10,,12
70,174,54,21,97,608,56,97,10,,12
70,172,54,24,97,668,56,97,10,,12
70,171,55,21,98,1684,55,98,10,,12
70,175,55,18,98,953,54,98,10,,12
69,174,56,16,98,77,54,98,10,,11
69,176,57,16,97,80,53,97,10,,11
69,178,59,15,98,164,52,98,10,,11
69,177,61,15,97,653,52,97,10,,11
69,177,63,14,99,2150,51,99,10,,11
69,171,65,14,98,2633,6,98,10,,11
74,178,2,,91,0,56,91,20,4127,13
73,181,2,252,93,0,55,94,20,3989,13
73,184,2,242,92,0,55,92,20,3896,13
73,181,2,248,92,0,54,92,30,3828,13
72,197,2,237,89,0,53,89,30,3737,13
72,191,2,236,89,0,53,89,30,3474,13
71,23,2,255,91,0,52,91,30,3366,13
72,194,2,268,98,0,51,98,30,357,13
71,23,2,283,99,0,6,99,30,335,13
75,211,3,277,96,0,5,96,20,363,13
71,213,3,277,89,0,49,89,20,2835,13
70,215,3,290,9,0,49,9,30,2633,12
70,29,3,310,94,0,48,94,30,2520,12
73,24,3,297,81,0,47,81,40,248,12
69,219,4,288,75,2,46,92,40,2339,12
69,218,4,279,99,0,45,99,40,2238,11
58,32,3,,16,1250,25,16,420,1347,9
58,32,3,1,2,13,24,2,440,193,9
57,327,3,1072,,321,24,3,570,2247,9
57,337,3,1189,,1190,23,24,820,21558,9
56,344,3,1099,,0,23,41,770,21452,9
56,339,3,993,,0,22,44,720,17136,9
56,34,3,797,,78,22,43,730,1653,9
55,338,3,834,,436,21,42,630,22742,9
55,339,3,686,,5,3,41,590,15762,9
55,337,3,728,,0,3,4,530,12732,9
54,337,3,719,,0,2,39,490,186,9
54,336,3,628,,38,20,38,440,685,9
54,334,3,713,,18,20,37,360,3577,8
54,334,3,601,,24,19,36,290,2711,8
53,334,3,507,,1339,19,35,230,2284,8
53,336,3,446,,0,18,34,190,173,0
65,255,5,,95,198,19,95,40,,5
64,261,5,1,94,127,18,94,40,,5
64,266,6,1,94,45,18,94,50,,5
64,274,6,1,94,194,17,94,60,,5
63,286,6,62,96,48,17,96,70,583,5
62,298,6,61,9,51,16,9,90,482,5
61,311,6,63,92,82,16,92,100,44,5
67,322,6,49,94,0,15,94,110,327,5
62,329,6,123,91,55,15,91,130,317,5
60,336,7,97,94,128,14,94,140,298,5
59,34,7,107,96,19,14,96,160,277,5
59,342,7,64,84,24,14,98,180,287,5
59,343,7,56,91,376,13,93,190,233,5
59,343,7,83,86,460,13,9,190,22,4
58,345,7,61,,204,13,86,200,215,4
45,593,7,83,,789,13,81,190,28,4
78,119,0,,91,4,60,93,10,1775,17
77,122,0,1,93,0,59,93,10,19941,17
77,127,0,1,93,2,59,94,10,1930,17
76,135,0,1,94,4,59,94,10,17422,17
76,138,0,1,94,7,58,93,10,17455,16
76,137,0,1497,94,0,58,94,10,14639,16
75,156,0,1504,95,0,57,95,10,14726,16
74,167,0,1699,94,0,57,95,10,1895,16
73,189,0,1787,95,1,56,95,10,16586,16
73,188,0,1658,95,27,56,95,10,12595,16
73,189,0,1552,95,2,56,96,10,1338,16
72,195,0,1507,9,0,55,94,10,885,16
72,199,0,1164,,0,55,94,10,7174,16
71,211,0,1148,,0,55,94,10,538,15
78,225,0,1,,0,54,94,10,4499,15
78,218,0,1,,9,54,93,10,47,14
65,225,136,,77,17745,18,77,60,645,8
64,234,140,1,77,12739,17,77,60,571,8
64,237,145,186,72,5253,17,72,90,52,8
63,241,150,184,69,4347,16,69,120,469,8
63,249,156,132,65,3255,16,65,140,355,8
62,261,162,134,62,4235,16,61,170,341,8
68,274,169,117,56,1176,15,58,200,380,8
60,289,177,113,52,3511,15,54,240,325,8
59,39,186,106,47,1446,15,5,280,243,7
57,328,196,122,,1451,14,46,330,194,7
56,343,206,99,,357,14,44,370,162,6
55,354,217,86,,73,14,4,410,136,5
54,363,228,79,,228,13,37,440,119,5
53,369,237,80,,3332,13,35,460,111,5
53,372,246,85,,2366,13,32,490,12,4
51,391,253,88,,1660,12,3,500,124,4
70,188,0,,99,0,63,99,10,4922,15
70,19,0,1,99,0,62,99,10,546,15
70,192,0,1,99,0,61,99,10,4764,15
69,195,0,1,99,0,6,99,10,4547,15
69,197,0,1,99,0,60,99,10,4353,15
69,2,0,225,99,0,59,99,10,3652,15
69,23,0,231,99,1,58,99,10,3369,15
69,26,0,195,99,0,57,99,10,4178,14
69,29,0,209,99,0,57,99,10,479,14
69,211,0,206,99,136,56,98,10,3750,14
68,214,0,202,99,0,55,96,10,3659,14
68,218,0,163,99,37,54,95,10,3333,13
68,22,0,176,99,305,53,94,10,2836,13
68,22,0,185,99,304,52,93,10,2260,13
68,221,0,193,98,17,51,91,10,239,13
68,221,0,205,98,0,5,9,10,276,13
81,76,0,,,2,62,97,10,4245,17
89,78,0,880,,0,62,98,10,49915,17
87,79,0,897,,2,61,98,10,49639,17
84,82,0,924,,0,61,99,10,47416,17
83,86,0,981,,27,7,99,10,580,17
80,89,0,972,,5,6,99,10,4622,17
80,91,0,996,,2,60,99,10,4717,17
80,94,0,1026,,5,59,99,10,5341,17
79,96,0,1045,,0,59,99,10,48289,17
79,96,0,1015,,0,59,97,10,4113,17
79,11,0,995,,1,58,97,10,38969,17
79,12,0,989,,0,58,98,10,37636,18
78,98,0,931,,0,57,98,10,32816,18
78,98,0,925,,0,57,98,10,26834,18
78,1,0,894,,1,56,98,10,24913,18
78,15,0,859,,0,56,99,10,24253,17
82,78,2,,86,157,63,98,10,36527,16
82,79,3,1150,83,267,62,98,10,42955,16
82,81,3,1110,74,272,62,99,10,42554,16
82,83,3,1150,78,0,61,99,10,4838,16
82,83,3,1180,74,14949,7,99,10,4381,16
81,86,3,1170,65,5048,6,99,10,473,16
81,88,3,1180,51,1541,60,98,10,41631,16
89,88,3,1190,47,604,59,98,10,45414,16
89,89,3,1220,42,39,59,98,10,417,16
86,92,3,1240,39,40,58,99,10,36545,16
81,93,3,1220,35,36,58,98,10,34880,16
82,94,3,1318,35,4448,57,98,10,33875,16
79,99,3,1349,28,0,56,97,10,29691,15
79,11,3,1378,29,5185,56,97,10,24275,16
79,13,3,1389,28,0,55,97,10,22527,16
79,13,3,1363,26,10000,55,97,10,22466,16
66,229,2,,8,27,36,8,270,7389,13
66,237,2,1,7,33,36,7,280,9692,13
65,255,2,886,79,122,35,79,370,9680,13
64,276,2,830,82,2,35,82,490,9774,13
63,289,2,890,75,2,34,75,600,1716,13
62,294,2,885,67,1,34,67,700,8754,13
62,31,2,864,79,0,33,76,800,764,12
62,298,2,875,82,3,32,82,890,194,12
62,291,2,902,75,0,32,81,1000,8353,12
61,288,2,801,52,90,31,45,1070,728,12
65,37,2,772,28,0,4,45,1090,6741,12
60,322,2,813,,63,3,45,1110,5686,12
60,32,2,647,,0,30,45,1100,4892,12
60,315,2,834,,110,29,45,1070,413,12
60,37,2,929,,5129,29,45,1010,3976,12
61,296,2,887,,15,28,45,950,4116,12
61,262,3,,97,71,27,97,170,,9
68,266,3,1,96,1,27,96,170,,9
66,266,3,1,97,0,26,97,160,,9
62,269,3,1,98,0,25,98,140,,9
60,277,3,341,96,0,25,96,180,,9
59,284,3,348,97,2,24,97,210,,9
59,286,3,299,97,0,24,98,270,,9
59,287,3,279,98,0,23,96,300,,9
59,288,3,264,97,0,22,95,310,,8
58,288,3,293,95,0,22,95,300,,8
58,294,3,226,95,0,3,95,300,,8
57,296,3,251,95,0,2,87,290,,8
57,297,3,247,94,119,20,87,270,,7
57,298,3,208,92,32,19,87,250,,7
56,3,3,225,91,99,19,87,230,,7
56,33,3,218,91,336,18,8,200,,7
74,129,1,,94,431,56,94,10,3765,14
75,125,1,613,91,3188,55,91,10,4430,14
75,128,1,591,96,7872,54,93,10,4274,14
74,13,1,771,92,31,54,92,10,4143,13
74,127,1,814,89,64,53,94,10,3726,13
74,132,1,724,95,22,52,92,10,2964,13
73,133,1,666,54,23,51,88,10,277,13
74,128,1,717,89,56,6,92,10,3175,13
74,12,1,865,94,44,50,98,10,2492,13
74,126,1,618,84,334,49,88,10,1873,13
74,128,1,470,79,1356,49,82,10,154,12
72,134,1,374,64,6847,48,78,10,127,12
73,132,1,336,48,216,48,75,10,928,12
72,142,2,272,51,199,47,84,10,779,12
73,121,2,276,61,35,47,87,10,734,12
72,129,2,328,55,50,46,8,10,692,11
81,68,2,,88,2464,62,95,10,41177,17
89,69,2,1103,88,443,62,95,10,4793,17
86,71,2,1094,88,1771,61,95,10,4654,17
86,71,2,1118,88,166,7,95,10,4465,17
85,74,2,1120,88,1607,6,95,10,4681,17
81,76,2,1120,88,780,60,95,10,41786,17
80,79,2,1122,88,574,60,96,10,41733,17
80,8,2,1136,87,917,59,96,10,45699,17
80,82,3,1150,86,567,59,96,10,41815,17
80,84,3,1176,87,2307,58,96,10,36448,17
79,85,3,1167,9,778,58,96,10,34697,16
79,86,3,1183,88,121,57,96,10,34166,16
79,9,3,1192,9,779,57,97,10,3360,16
78,91,3,1225,87,4657,56,93,10,2525,16
78,92,3,1246,86,6024,56,93,10,23687,16
78,95,3,1291,84,0,55,9,10,23719,16
62,249,37,,88,23,29,88,70,1361,11
62,253,37,1,98,124,28,98,80,1432,12
62,254,38,1,9,319,27,9,90,1814,12
62,257,39,1,92,1613,27,92,90,1630,11
61,263,40,164,91,120,26,91,130,1575,11
69,267,40,169,94,641,26,94,190,1313,11
66,271,41,176,94,101,25,94,210,187,10
63,275,41,178,93,82,24,93,220,1224,10
60,28,41,125,94,6,24,94,260,20,9
59,288,41,170,84,420,23,84,290,923,9
59,296,41,150,84,435,22,84,310,498,8
58,34,41,146,8,60,22,8,320,423,8
58,38,41,153,8,1939,21,8,340,373,8
58,31,42,160,8,12289,3,78,350,39,8
57,39,42,149,,13476,2,79,350,274,8
57,38,43,160,,23068,20,88,360,263,8
81,72,0,,96,1,67,99,10,188,17
88,73,0,753,96,1,66,99,10,21674,17
86,74,0,746,98,3,65,99,10,21875,17
84,76,0,820,98,3,65,99,10,22243,17
85,76,0,802,95,40,64,99,10,25916,17
83,76,0,900,95,149,64,99,10,26918,16
80,78,0,908,95,2,63,99,10,2972,16
80,77,0,951,95,1,62,99,10,31997,16
79,8,0,967,95,2,62,99,10,28827,16
80,77,0,942,94,0,61,98,10,2481,16
79,81,0,995,93,122,7,96,10,22552,16
79,81,0,956,92,1,60,95,10,21955,15
79,81,0,946,92,0,59,94,10,18478,15
79,81,1,809,91,5,59,92,10,1411,15
79,83,1,862,9,12,58,91,10,12538,14
78,84,1,848,89,56,57,89,10,1243,14
74,142,0,,92,0,48,92,10,9212,16
74,143,0,842,97,0,47,97,10,8570,16
73,144,0,825,97,0,47,97,10,7956,16
73,146,0,807,97,0,46,97,10,7583,16
73,15,0,784,94,0,45,95,10,741,16
73,154,0,791,97,0,44,97,10,7366,16
72,158,0,842,99,0,43,99,10,7396,16
72,162,0,892,99,0,42,99,10,7947,15
72,164,0,906,96,0,42,96,10,7323,15
72,167,0,906,91,0,41,91,10,6765,15
72,169,0,880,99,0,5,99,10,6755,15
73,187,0,843,83,0,40,83,10,5836,15
71,173,0,975,97,0,39,97,10,5774,15
79,176,0,1071,98,0,39,98,10,5292,14
77,178,0,961,96,0,38,96,10,520,14
74,182,0,940,,0,38,97,10,5118,14
72,186,10,,74,0,6,74,40,3924,11
72,187,10,188,73,0,50,73,40,3688,11
71,189,11,193,85,0,49,85,40,3453,11
71,189,11,202,96,0,49,96,40,3300,11
71,193,11,216,88,0,48,88,40,3188,11
77,196,12,214,94,0,47,94,40,2826,11
76,198,12,214,92,0,47,92,40,2636,10
79,19,13,221,95,0,46,95,40,2794,10
75,192,13,240,85,0,45,85,40,2490,10
70,24,14,238,89,0,45,89,40,2257,10
69,28,14,235,87,0,44,87,40,278,10
70,21,15,240,,0,43,87,40,1873,9
69,24,15,245,,0,42,84,40,1753,9
69,21,16,241,,0,42,82,30,172,9
68,211,16,253,,0,41,77,30,1568,9
68,221,17,263,,0,4,81,20,1656,8
59,284,26,,54,243,23,54,50,554,9
58,299,27,1,51,175,23,51,50,562,9
59,284,27,1,63,53,22,63,100,54,9
58,288,28,1,62,6,22,62,190,52,9
58,29,28,22,63,11,21,63,200,459,8
58,291,29,20,64,45,3,64,220,439,8
57,297,29,18,57,264,2,57,230,437,8
57,33,30,21,57,89,20,6,230,437,8
56,36,31,19,57,3,19,63,240,49,8
56,317,31,16,,4,19,57,260,297,7
55,327,32,21,,99,19,59,270,33,7
54,334,33,34,,10,18,6,280,386,5
53,338,34,18,,2497,18,57,290,37,6
53,337,35,21,,2151,17,53,300,323,6
53,336,36,17,,7408,17,5,300,316,5
53,328,37,17,,11294,17,46,300,35,5
59,275,4,,87,153,26,87,320,597,9
58,282,4,1,87,1,26,87,340,643,9
58,279,4,1,87,0,25,87,450,62,9
58,285,4,1,87,0,24,87,530,68,9
57,289,4,357,86,0,24,86,570,693,9
57,287,4,321,83,26,23,83,590,544,9
56,288,4,255,8,0,23,8,600,544,9
56,297,5,264,,12,22,77,600,584,9
55,32,5,298,,1,21,74,570,482,9
54,36,5,322,,0,3,71,560,419,8
54,37,5,310,,0,2,68,540,425,8
54,38,5,258,,3526,20,64,500,393,8
53,38,5,216,,1158,19,6,460,37,7
53,35,5,247,,298,19,57,410,321,7
53,32,5,255,,126,18,53,360,39,7
52,3,5,284,,0,17,49,310,298,6
66,215,0,,95,0,47,95,30,4137,10
66,217,0,764,98,0,46,98,30,44,10
66,218,0,756,98,0,45,98,30,3944,10
66,22,0,757,97,0,44,97,30,3786,11
66,229,0,756,93,0,43,93,40,3440,10
66,221,0,752,95,0,42,95,40,326,10
66,218,0,749,98,0,42,98,30,2716,11
66,218,1,732,93,0,5,93,80,2576,11
66,232,1,720,94,0,4,94,190,2328,11
65,24,1,704,93,0,40,93,110,1946,12
65,238,1,735,93,0,39,93,180,198,11
65,237,1,784,91,0,38,91,190,146,11
65,237,1,793,9,0,38,9,210,987,11
65,244,1,773,91,0,37,91,230,97,11
65,247,1,671,85,0,36,85,170,926,11
65,246,1,663,,0,36,88,110,947,11
64,24,14,,6,0,50,6,50,815,9
63,245,14,1,48,0,49,48,50,83,9
63,253,14,568,68,0,48,68,50,81,9
62,259,15,568,,0,47,67,80,767,9
62,259,15,568,,0,45,68,150,75,9
36,682,23,576,,0,44,66,190,662,9
63,251,16,585,,0,43,65,200,668,9
62,259,16,595,,0,42,63,240,675,8
62,266,17,608,,0,5,63,270,616,8
61,28,17,618,,0,40,6,330,55,8
65,29,17,557,,0,39,6,390,465,8
59,32,18,610,,0,38,55,430,388,8
60,3,18,664,,0,37,53,460,330,8
59,33,19,610,,0,36,48,480,393,8
59,35,19,622,,159,35,45,500,414,8
59,35,20,479,,992,34,41,510,462,8
75,147,3,,97,0,51,97,30,2326,11
75,149,3,287,97,0,5,97,30,2243,11
74,15,4,311,97,0,49,97,40,2137,12
74,151,4,311,97,0,48,97,40,2178,12
74,153,4,310,97,0,48,97,40,213,12
74,156,4,310,97,0,47,97,40,1933,12
73,157,4,308,97,0,46,97,50,1815,11
73,159,4,314,92,0,45,93,60,1752,11
73,16,5,316,93,0,44,94,70,1593,11
73,161,5,323,94,0,44,95,80,1438,11
73,163,5,323,97,0,43,98,90,1312,11
72,165,5,302,93,0,42,94,120,1218,10
72,166,6,304,91,0,41,92,140,1157,10
72,169,6,309,94,0,4,95,150,1133,10
71,171,6,274,95,0,40,96,160,113,10
71,174,6,261,93,0,39,94,170,189,10
76,134,0,,,0,65,99,10,12366,16
76,137,0,1,,0,64,99,10,14118,16
76,139,0,1088,,1,64,99,10,13614,15
75,146,0,1127,,2,63,99,10,12834,15
75,15,0,1151,,5,62,99,10,1449,15
75,156,0,1078,,0,62,99,10,1326,15
74,162,0,1146,,1,61,99,10,12967,15
74,165,1,1164,,0,7,99,10,15669,15
74,176,1,1255,,0,60,99,10,13843,15
73,177,1,1316,,1,59,99,10,11399,15
73,182,1,1294,,2,59,99,10,11162,15
73,18,1,1328,,0,58,99,10,1260,15
73,184,1,1324,,0,58,99,10,8396,15
73,184,1,1329,,0,57,99,10,666,15
72,185,1,1318,,20,57,99,10,528,14
72,193,1,1222,,1,56,99,10,4623,14
83,49,0,,,0,61,92,10,5734,19
83,49,0,745,,0,7,9,10,52473,19
82,5,0,731,,0,6,91,10,4781,19
83,5,0,781,,0,60,89,10,44334,19
82,51,0,813,,0,59,95,10,46,19
82,53,0,825,,0,59,96,10,41676,18
82,55,0,1022,,0,59,96,10,4462,18
81,58,0,849,,0,58,98,10,55575,18
81,59,0,753,,0,58,97,10,68348,18
81,61,0,720,,0,57,97,10,5614,18
81,62,0,705,,0,57,95,10,56250,18
88,65,0,679,,0,57,99,10,46917,18
87,65,0,661,,0,56,97,10,3945,18
84,7,0,661,,0,55,95,10,31996,17
80,72,0,637,,0,55,92,10,28586,17
80,74,0,617,,0,54,98,10,31813,17
68,181,910,,87,90387,19,87,20,1613,12
68,184,957,307,79,79563,18,85,20,1573,12
68,187,1000,311,7,13822,18,83,20,1452,12
67,19,1100,310,73,18668,17,82,20,1447,11
67,193,1100,300,44,33634,16,82,20,1462,11
66,196,1200,277,38,31458,16,79,20,1346,10
66,2,1300,250,37,56188,15,74,20,19,11
66,23,1300,193,29,44258,15,7,30,991,10
65,26,1400,159,6,41144,14,64,30,118,10
65,28,1500,137,6,64185,14,65,30,792,10
64,211,1500,127,8,36711,14,65,30,78,9
64,214,1600,120,6,55443,13,63,30,621,9
64,216,1700,119,,47147,13,61,30,541,9
63,219,1700,110,,40044,12,59,30,466,8
63,222,1800,100,,51780,12,59,30,447,8
63,224,1800,93,,38835,11,58,30,439,8
69,176,114,,78,15099,27,78,30,3336,13
69,179,119,9,78,12943,27,78,30,3492,13
69,181,124,9,85,8419,26,85,30,363,13
69,183,129,8,83,15489,25,83,30,3688,13
68,185,134,8,81,21893,24,81,30,3634,12
68,187,138,8,83,18869,23,81,30,3113,12
68,189,143,8,82,20818,22,78,30,2254,12
68,189,149,7,82,15369,21,77,20,217,12
68,19,154,6,76,19456,3,73,20,1856,11
67,191,159,6,66,20422,20,72,10,1586,11
67,19,163,6,65,15853,19,72,10,127,11
65,213,174,6,64,29171,18,71,10,1149,11
67,189,173,5,64,24457,18,71,10,165,11
67,189,177,5,63,14492,17,7,10,900,11
67,188,182,6,62,3825,16,76,10,748,11
66,188,187,6,65,3344,15,75,10,79,11
76,83,18,,98,615,60,98,10,,15
75,83,19,1,99,99,59,99,10,,15
75,83,20,1,99,189,57,98,10,,15
75,85,21,1,98,332,56,99,10,,14
75,93,22,3,99,73,55,99,10,,13
74,16,22,3,99,538,54,99,10,,13
73,122,23,3,99,262,53,99,10,,13
73,135,24,2,99,127,51,99,10,,12
72,138,25,2,97,133,5,99,10,,12
72,139,26,2,98,220,49,98,10,,11
72,139,27,1,94,7,49,95,10,,11
72,139,28,1,95,3,48,99,10,,12
75,154,29,1,98,11644,47,99,10,,12
71,142,31,1,99,9554,46,99,10,,12
78,146,33,1,94,9582,46,96,10,,12
73,15,35,1,99,11874,45,99,10,,12
69,182,32,,56,1433,59,58,10,4974,10
68,199,32,1,62,1317,59,64,10,674,10
70,17,32,1,66,669,58,68,10,6925,10
76,147,32,1,61,15,57,69,10,6651,11
